text,label
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
The quick brown fox jumps over the lazy dog.,1
Fake news is spreading fast on social media.,0
Scientists discover a new species of frog in the Amazon.,1
Aliens have landed in New York City and are drinking coffee.,0
The stock market reached an all-time high today.,1
You won't believe this one weird trick to lose weight!,0
Government passes new legislation to improve infrastructure.,1
Secret society controls the world's weather using satellites.,0
Local team wins the championship after a stunning comeback.,1
"Drink bleach to cure all diseases, doctor claims.",0
